Index,reviewId,appTitle,userName,date,score_x,text,TrueDate,category,summary,installs,minInstalls,score_y,ratings,reviews,free,offersIAP,size,androidVersionText,developerId,genreId,familyGenreId,contentRating,adSupported,released,updated,version,recentChanges,appId,url,newText,reviewLen,Akash,Christian,Connor,Bug reports,Feature requests,User experiences,Ratings,
316118,2350293,,Kat Thomas,19-Apr-19,3,I think it needs more curly hairstyles. they are either too short or too long. If the app actually had hair that looks like mine I would give it 5 stars. I love everything about it but that part.,2019-05-01,ENTERTAINMENT,,,,,,,,,,,,,,,,,,,,,,I think it needs more curly they are either too short or too long If the actually had hair that like mine I would give it 5 I love everything about it but that part,35,Y,Y,N,,1,,1,If it is there put a 1
608338,3573024,DISNEYNOW – EPISODES & LIVE TV,A Google User,01-Mar-19,3,i don't have a tv provider and all the movies i like aren't avalible unless i have a tv provider,2019-04-07,FAMILY,"Access the best of Disney TV all in one place, whenever, wherever!","5,000,000+",5000000,4.3411994,98268,47152,TRUE,FALSE,Varies with device,4.4 and up,Disney,ENTERTAINMENT,FAMILY_MUSICVIDEO,Everyone,TRUE,29-May-14,1.55E+12,Varies with device,We’ve made some updates behind the scenes to keep things running smoothly. Thank you for using the DisneyNOW app!,com.disney.datg.videoplatforms.android.watchdc,https://play.google.com/store/apps/details?id=com.disney.datg.videoplatforms.android.watchdc&hl=en&gl=us,i dont have a provider and all the i like arent unless i have a provider,16,Y,Y,N,,1,,,
251394,2190590,CREDIT KARMA,Friendly Pal,16-Mar-19,5,clean simple and easy to use,2019-04-01,FINANCE,"Track your credit scores, monitor for ID theft, even file your taxes. It’s free!","10,000,000+",10000000,4.732531,813694,290486,TRUE,FALSE,Varies with device,Varies with device,"Credit+Karma,+Inc.",FINANCE,,Everyone,TRUE,28-Feb-13,1.55E+12,Varies with device,"• Enhancements and improved stability<br><br>Stay tuned for more updates, and be sure to share your feedback at comments@creditkarma.com.",com.creditkarma.mobile,"https://play.google.com/store/apps/details?id=com.creditkarma.mobile&hl=en&gl=us""appTitle",clean simple and easy to use,6,Y,Y,N,,,,1,
83962,444471,THE PCH APP,randolph wefdgg GB gbMcIntyre,26-Apr-19,5,l like the games and the winnings that you can get out of PCH.,2019-05-09,LIFESTYLE,"Want To Win $7,000.00 A Week For Life!  Get the App for 2X ENTRIES!","5,000,000+",5000000,4.50957,306482,113835,TRUE,FALSE,86M,4.4 and up,Publishers+Clearing+House,LIFESTYLE,,Everyone,TRUE,16-Apr-13,1.55E+12,2.9.5.79287,#NAME?,pch.apps.pchsweeps,"https://play.google.com/store/apps/details?id=pch.apps.pchsweeps&hl=en&gl=us""appTitle",l like the and the winnings that you can get out of,12,Y,Y,N,,,1,,
505650,2801488,YOUTUBE MUSIC - STREAM SONGS & MUSIC VIDEOS,Paul Lindgren,08-Apr-19,1,"I was hoping I'd be able to download and play songs from my music library I've accumulated through Google Play Music, but it looks like that very basic level of functionality is behind a $10 a month paywall. Definitely not ready to replace the doomed Google Play Music app with this one just yet.",2019-04-14,MUSIC_AND_AUDIO,The official YouTube app built just for music.,"100,000,000+",100000000,4.0828114,536242,193306,TRUE,FALSE,Varies with device,Varies with device,5.70E+18,MUSIC_AND_AUDIO,,Teen,TRUE,12-Nov-15,1.55E+12,Varies with device,"YouTube Music has been completely redesigned. Quickly find the music you’re looking for and get music served to you based on what’s right for the moment you’re in. Want to listen without interruptions? Get 1 free month of Music Premium to listen ad-free, offline, and with your screen locked.",com.google.android.apps.youtube.music,"https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music&hl=en&gl=us""appTitle",I was Id be able to and play from my music library through Play Music but it like that very basic level of functionality is behind a 10 a month Definitely not ready to replace the Play Music with this one just yet,43,Y,Y,N,,1,,,
791978,4182820,SLITHER.IO,Dolly Crow,04-Mar-19,1,too much lag,2019-03-08,GAME_ACTION,Play online with people all over the world! Can YOU become the longest player?,"100,000,000+",100000000,4.357608,5614610,2292969,TRUE,TRUE,Varies with device,2.3 and up,Lowtech+Studios,GAME_ACTION,,Everyone,TRUE,25-Mar-16,1.51E+12,Varies with device,New skins!<br><br>Build a slither: Create your own skin!,air.com.hypah.io.slither,"https://play.google.com/store/apps/details?id=air.com.hypah.io.slither&hl=en&gl=us""appTitle",too much lag,3,Y,Y,N,1,,,,
299847,2320523,,TERRARIAN,23-Apr-19,2,kinda good just too many ads,2019-05-01,GAME_ACTION,,,,,,,,,,,,,,,,,,,,,,good just too many,4,Y,Y,N,,,,1,
706791,3924519,QUIZLET: LEARN LANGUAGES & VOCAB WITH FLASHCARDS,Tiger Bear,20-Mar-19,5,Quizlet is an amazing resource and quite literally the reason why I am passing my classes,2019-04-07,EDUCATION,"The top study app for flashcards, languages and learning — available for free!","10,000,000+",10000000,4.65261,272679,91483,TRUE,TRUE,Varies with device,Varies with device,8.00E+18,EDUCATION,,Everyone,TRUE,20-Aug-13,1.55E+12,Varies with device,"We’ve fixed some performance issues so studying should be even smoother. <br><br>Have feedback? Email us at quizletapp@quizlet.com, tweet us at @quizlet or check out our Instagram @quizlet too!<br>Love Quizlet? Why not leave us a review! :-)",com.quizlet.quizletandroid,"https://play.google.com/store/apps/details?id=com.quizlet.quizletandroid&hl=en&gl=us""appTitle",is an amazing resource and quite literally the reason why I am passing my classes,15,Y,Y,N,,,1,,
541986,3241842,BANK OF AMERICA MOBILE BANKING,Robert Smith,09-Apr-19,5,This is a great app.,2019-04-14,FINANCE,"View balances, make transfers, deposit checks with the Bank of America App.","10,000,000+",10000000,4.4908147,465738,150413,TRUE,FALSE,56M,4.4 and up,5.62E+18,FINANCE,,Everyone,FALSE,,1.55E+12,8.1.8,"We’ve updated the app with our new logo.<br><br>In this release:<br>• Cash Rewards credit card holders can select online shopping, dining, or another category each month as their 3% cash back choice<br>• Checking customers can view Bill Pay history, manage automatic Bill Pay plans, request eBills, and more<br>• Debit card holders can set daily limits for debit card purchases and ATM withdrawals<br>• Erica will notify you when you qualify for Preferred Rewards and allow you to easily enroll",com.infonow.bofa,"https://play.google.com/store/apps/details?id=com.infonow.bofa&hl=en&gl=us""appTitle",This is a great,4,Y,Y,N,,,,1,
788872,4172214,BOWMASTERS,Dawmart Castillo,02-Mar-19,5,it's the best!!!😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,2019-03-08,GAME_ACTION,A brand new version of the world-famous game with bowmen.,"50,000,000+",50000000,4.641812,2561203,1103967,TRUE,TRUE,Varies with device,4.1 and up,5.93E+18,GAME_ACTION,,Teen,TRUE,10-Nov-16,1.55E+12,2.12.5,Bug fixes and general improvements.,com.miniclip.bowmasters,"https://play.google.com/store/apps/details?id=com.miniclip.bowmasters&hl=en&gl=us""appTitle",its the best,3,Y,Y,N,,,,1,
